organ,cell_type
Liver,Haematopoietic stem and progenitor cell
Liver,Hepatocyte
Liver,Kuppfer cell
Liver,Macrophage
Liver,Mast cell
Liver,Monocyte
Liver,Neutrophilic granulocyte
Liver,Proliferating T cell
Liver,Smooth muscle cell
Liver,T cell
Liver,Unclassified
Lung,B cell
Lung,CD8 T cell
Lung,Chondrocyte
Lung,Ciliated columnar cell
Lung,Club cell
Lung,Dendritic cell
Lung,Distal progenitor cell
Lung,Endothelial cell
Lung,epithelial cell
Lung,Fibrocyte
Lung,Lymphatic endothelial cell
Lung,Macrophage
Lung,Mast cell
Lung,Megakaryocyte
Lung,Mesenchymal cell
Lung,Monocyte
Lung,Myeloid cell
Lung,Myoepithelial cell
Lung,Neuron
Lung,Neutrophilic granulocyte
Lung,NK cell
Lung,Pericyte
Lung,Perineural epithelial cell
Lung,Plasma B cell
Lung,Proximal progenitor cell
Lung,Smooth muscle cell
Lung,T cell
Lung,Type I alveolar cell
Lung,Type I alveolar cell/Type II alveolar cell
Lung,Type II alveolar cell
Lung,Unclassified
Lung,Vascular endothelial cell
Muscle,Autonomic nervous system
Muscle,B cell
Muscle,Dendritic cell
Muscle,Endothelial cell
Muscle,Erythrocyte
Muscle,Fast skeletal muscle cell
Muscle,Fibroblast
Muscle,Macrophage
Muscle,Mast cell
Muscle,Muscle progenitor cell
Muscle,Neuron
Muscle,Neutrophilic granulocyte
Muscle,Proliferating T cell
Muscle,Skeletal muscle cell
Muscle,Smooth muscle cell
Muscle,Stromal cell
Muscle,T cell
Muscle,Tendon cell
Muscle,Unclassified
Oesophagus,B cell
Oesophagus,Dendritic cell
Oesophagus,Endothelial cell
Oesophagus,Epithelial cell
Oesophagus,Mast cell
Oesophagus,T cell
Ovary,Dendritic cell/Macrophage
Ovary,Endothelial cell
Ovary,Epithelial cell
Ovary,Epithelial progenitor cell
Ovary,Erythrocyte
Ovary,Fibroblast
Ovary,Germ cell
Ovary,Germ cell/Theca cell
Ovary,Macrophage
Ovary,Smooth muscle cell
Ovary,Stromal cell
Ovary,T cell
Ovary,Unclassified
Pancreas,Acinar cell
Pancreas,Alpha cell
Pancreas,B cell
Pancreas,Beta cell
Pancreas,Dendritic cell
Pancreas,Ductal cell
Pancreas,Endocrine cell
Pancreas,Endothelial cell
Pancreas,Erythrocyte
Pancreas,Exocrine cell
Pancreas,Fibroblast
Pancreas,Macrophage
Pancreas,Mast cell
Pancreas,Mesenchymal cell
Pancreas,Monocyte
Pancreas,Neuron
Pancreas,Neutrophilic granulocyte
Pancreas,NK cell
Pancreas,Plasma B cell
Pancreas,Proliferating T cell
Pancreas,Satellite cell
Pancreas,Schwann cell
Pancreas,Smooth muscle cell
Pancreas,T cell
Placenta,Epithelial cell
Placenta,Erythrocyte
Placenta,Macrophage
Placenta,Stromal cell/Macrophage
Pleura,Fibrocyte
Pleura,Macrophage
Pleura,Mesothelium
Pleura,Neutrophilic granulocyte
